"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1822","should validate empty field submission","","Sun Jun 01 23:56:18 MYT 2025","passed","Sun Jun 01 23:56:19 MYT 2025","","Add Ingredients Functionality Tests","Add Ingredients Functionality Tests","should validate empty field submission"
"","5300","should validate valid inputs","","Sun Jun 01 23:32:34 MYT 2025","passed","Sun Jun 01 23:32:40 MYT 2025","","Registration Page Tests","Registration Page Tests","should validate valid inputs"
"","2675","should validate measurement with invalid measurement","","Mon Jun 02 00:05:05 MYT 2025","broken","Mon Jun 02 00:05:08 MYT 2025","","Add supplier Functionality Tests","Add supplier Functionality Tests","should validate measurement with invalid measurement"
"","833","should display error on invalid email","","Sun Jun 01 23:52:46 MYT 2025","passed","Sun Jun 01 23:52:46 MYT 2025","","Login Functionality Tests","Login Functionality Tests","should display error on invalid email"
"","3267","should validate price with invalid price","","Mon Jun 02 00:05:02 MYT 2025","failed","Mon Jun 02 00:05:05 MYT 2025","","Add supplier Functionality Tests","Add supplier Functionality Tests","should validate price with invalid price"
"","1726","should validate password mismatch","","Sun Jun 01 23:32:47 MYT 2025","passed","Sun Jun 01 23:32:49 MYT 2025","","Registration Page Tests","Registration Page Tests","should validate password mismatch"
"","2039","should validate full name with invalid characters","","Sun Jun 01 23:32:40 MYT 2025","failed","Sun Jun 01 23:32:42 MYT 2025","","Registration Page Tests","Registration Page Tests","should validate full name with invalid characters"
"","3060","should validate code with existing code","","Mon Jun 02 00:04:53 MYT 2025","passed","Mon Jun 02 00:04:56 MYT 2025","","Add supplier Functionality Tests","Add supplier Functionality Tests","should validate code with existing code"
"","1783","should select role","","Sun Jun 01 23:32:43 MYT 2025","passed","Sun Jun 01 23:32:45 MYT 2025","","Registration Page Tests","Registration Page Tests","should select role"
"","305","should show password requirements when info icon is clicked","","Sun Jun 01 23:57:34 MYT 2025","passed","Sun Jun 01 23:57:34 MYT 2025","","Password Strength Validation","Password Strength Validation","should show password requirements when info icon is clicked"
"","3153","should validate contact with invalid contact","","Mon Jun 02 00:04:58 MYT 2025","passed","Mon Jun 02 00:05:01 MYT 2025","","Add supplier Functionality Tests","Add supplier Functionality Tests","should validate contact with invalid contact"
"","3175","should validate code with invalid name","","Mon Jun 02 00:04:49 MYT 2025","failed","Mon Jun 02 00:04:53 MYT 2025","","Add supplier Functionality Tests","Add supplier Functionality Tests","should validate code with invalid name"
"","456","should show ""Strong"" for passwords with less than 6 characters","","Sun Jun 01 23:57:34 MYT 2025","passed","Sun Jun 01 23:57:34 MYT 2025","","Password Strength Validation","Password Strength Validation","should show ""Strong"" for passwords with less than 6 characters"
"","796","should validate email format before submission","","Sun Jun 01 23:52:47 MYT 2025","passed","Sun Jun 01 23:52:48 MYT 2025","","Login Functionality Tests","Login Functionality Tests","should validate email format before submission"
"","15287","should show ""Weak"" for passwords with less than 6 characters","","Sun Jun 01 23:57:17 MYT 2025","passed","Sun Jun 01 23:57:33 MYT 2025","","Password Strength Validation","Password Strength Validation","should show ""Weak"" for passwords with less than 6 characters"
"","9263","Test valid characters","","Mon Jun 02 00:04:40 MYT 2025","passed","Mon Jun 02 00:04:49 MYT 2025","","Add supplier Functionality Tests","Add supplier Functionality Tests","Test valid characters"
"","2613","should validate code with empty ingredient","","Mon Jun 02 00:04:56 MYT 2025","passed","Mon Jun 02 00:04:58 MYT 2025","","Add supplier Functionality Tests","Add supplier Functionality Tests","should validate code with empty ingredient"
"","746","should show ""Medium"" for passwords with less than 6 characters","","Sun Jun 01 23:57:33 MYT 2025","passed","Sun Jun 01 23:57:34 MYT 2025","","Password Strength Validation","Password Strength Validation","should show ""Medium"" for passwords with less than 6 characters"
"","837","should display error on invalid password","","Sun Jun 01 23:52:46 MYT 2025","passed","Sun Jun 01 23:52:47 MYT 2025","","Login Functionality Tests","Login Functionality Tests","should display error on invalid password"
"","5630","should validate measurement with empty inputs","","Mon Jun 02 00:05:08 MYT 2025","failed","Mon Jun 02 00:05:13 MYT 2025","","Add supplier Functionality Tests","Add supplier Functionality Tests","should validate measurement with empty inputs"
"","1755","should validate existing email","","Sun Jun 01 23:32:49 MYT 2025","passed","Sun Jun 01 23:32:50 MYT 2025","","Registration Page Tests","Registration Page Tests","should validate existing email"
"","4540","should login successfully with valid credentials","","Sun Jun 01 23:52:41 MYT 2025","passed","Sun Jun 01 23:52:46 MYT 2025","","Login Functionality Tests","Login Functionality Tests","should login successfully with valid credentials"
"","3588","should validate date in with wrong date format","","Sun Jun 01 23:56:14 MYT 2025","failed","Sun Jun 01 23:56:18 MYT 2025","","Add Ingredients Functionality Tests","Add Ingredients Functionality Tests","should validate date in with wrong date format"
"","1676","should validate contact number with invalid characters","","Sun Jun 01 23:32:42 MYT 2025","passed","Sun Jun 01 23:32:43 MYT 2025","","Registration Page Tests","Registration Page Tests","should validate contact number with invalid characters"
"","3833","should validate quantity with invalid characters","","Sun Jun 01 23:56:02 MYT 2025","passed","Sun Jun 01 23:56:06 MYT 2025","","Add Ingredients Functionality Tests","Add Ingredients Functionality Tests","should validate quantity with invalid characters"
"","1755","should prevent submission with weak password","","Sun Jun 01 23:57:34 MYT 2025","passed","Sun Jun 01 23:57:36 MYT 2025","","Password Strength Validation","Password Strength Validation","should prevent submission with weak password"
"","109","should validate empty field submission","","Sun Jun 01 23:32:51 MYT 2025","passed","Sun Jun 01 23:32:51 MYT 2025","","Registration Page Tests","Registration Page Tests","should validate empty field submission"
"","1736","should validate email format","","Sun Jun 01 23:32:45 MYT 2025","passed","Sun Jun 01 23:32:47 MYT 2025","","Registration Page Tests","Registration Page Tests","should validate email format"
"","194","should validate empty field submission","","Sun Jun 01 23:52:48 MYT 2025","passed","Sun Jun 01 23:52:48 MYT 2025","","Login Functionality Tests","Login Functionality Tests","should validate empty field submission"
"","6880","should allow adding new ingredients","","Sun Jun 01 23:55:46 MYT 2025","passed","Sun Jun 01 23:55:53 MYT 2025","","Add Ingredients Functionality Tests","Add Ingredients Functionality Tests","should allow adding new ingredients"
"","3998","should validate measurement with invalid characters","","Sun Jun 01 23:56:06 MYT 2025","failed","Sun Jun 01 23:56:10 MYT 2025","","Add Ingredients Functionality Tests","Add Ingredients Functionality Tests","should validate measurement with invalid characters"
"","9419","Should validate ingredient code format","","Sun Jun 01 23:55:53 MYT 2025","failed","Sun Jun 01 23:56:02 MYT 2025","","Add Ingredients Functionality Tests","Add Ingredients Functionality Tests","Should validate ingredient code format"
